Projection,Year,Starting balance,Base withdrawal,Recurring income,Recurring expense,Net withdrawal,One-off cash flow,Return rate,Inflation rate,Ending balance
FIRE number projection,1,1301620.02,80000.00,0.00,12000.00,92000.00,0.00,7.5000,3.0000,1307241.52
FIRE number projection,2,1307241.52,82400.00,0.00,12360.00,94760.00,0.00,7.5000,3.0000,1310524.64
FIRE number projection,3,1310524.64,84872.00,0.00,12730.80,97602.80,0.00,7.5000,3.0000,1311211.19
FIRE number projection,4,1311211.19,87418.16,0.00,13112.72,100530.88,0.00,7.5000,3.0000,1309021.14
FIRE number projection,5,1309021.14,90040.70,0.00,13506.11,103546.81,50000.00,7.5000,3.0000,1357400.91
FIRE number projection,6,1357400.91,92741.93,0.00,13911.29,106653.21,0.00,7.5000,3.0000,1352552.77
FIRE number projection,7,1352552.77,95524.18,0.00,14328.63,109852.81,0.00,7.5000,3.0000,1344141.42
FIRE number projection,8,1344141.42,98389.91,0.00,14758.49,113148.40,0.00,7.5000,3.0000,1331803.63
FIRE number projection,9,1331803.63,101341.61,0.00,0.00,101341.61,0.00,7.5000,3.0000,1330347.29
FIRE number projection,10,1330347.29,104381.85,0.00,0.00,104381.85,0.00,7.5000,3.0000,1325741.48
FIRE number projection,11,1325741.48,107513.31,0.00,0.00,107513.31,0.00,6.0000,3.0000,1297772.66
FIRE number projection,12,1297772.66,110738.71,0.00,0.00,110738.71,-120000.00,6.0000,3.0000,1137700.31
FIRE number projection,13,1137700.31,114060.87,0.00,0.00,114060.87,0.00,6.0000,3.0000,1091901.46
FIRE number projection,14,1091901.46,117482.70,0.00,0.00,117482.70,0.00,6.0000,3.0000,1039932.85
FIRE number projection,15,1039932.85,121007.18,36302.15,0.00,84705.02,0.00,6.0000,3.0000,1017623.80
FIRE number projection,16,1017623.80,124637.39,37391.22,0.00,87246.18,0.00,6.0000,3.0000,991435.05
FIRE number projection,17,991435.05,128376.52,38512.95,0.00,89863.56,0.00,6.0000,3.0000,961057.59
FIRE number projection,18,961057.59,132227.81,39668.34,0.00,92559.47,0.00,6.0000,3.0000,926161.58
FIRE number projection,19,926161.58,136194.64,40858.39,0.00,95336.25,0.00,6.0000,3.0000,886395.02
FIRE number projection,20,886395.02,140280.48,42084.15,0.00,98196.34,0.00,6.0000,3.0000,841382.39
FIRE number projection,21,841382.39,144488.90,43346.67,0.00,101142.23,0.00,6.0000,3.0000,790723.10
FIRE number projection,22,790723.10,148823.57,44647.07,0.00,104176.50,0.00,6.0000,3.0000,733989.99
FIRE number projection,23,733989.99,153288.27,45986.48,0.00,107301.79,0.00,6.0000,3.0000,670727.60
FIRE number projection,24,670727.60,157886.92,47366.08,0.00,110520.84,0.00,6.0000,3.0000,600450.41
FIRE number projection,25,600450.41,162623.53,48787.06,0.00,113836.47,0.00,6.0000,3.0000,522640.96
FIRE number projection,26,522640.96,167502.23,50250.67,0.00,117251.56,0.00,6.0000,3.0000,436747.86
FIRE number projection,27,436747.86,172527.30,51758.19,0.00,120769.11,0.00,6.0000,3.0000,342183.62
FIRE number projection,28,342183.62,177703.12,53310.94,0.00,124392.18,0.00,6.0000,3.0000,238322.45
FIRE number projection,29,238322.45,183034.21,54910.26,0.00,128123.95,0.00,6.0000,3.0000,124497.85
FIRE number projection,30,124497.85,188525.24,56557.57,0.00,131967.67,0.00,6.0000,3.0000,0.05
