Projection,Year,Starting balance,Base withdrawal,Recurring income,Recurring expense,Net withdrawal,One-off cash flow,Return rate,Inflation rate,Ending balance
FIRE number projection,1,1389105.24,80000.00,0.00,12000.00,92000.00,0.00,7.5000,3.0000,1394388.13
FIRE number projection,2,1394388.13,82400.00,0.00,12360.00,94760.00,0.00,7.5000,3.0000,1397100.24
FIRE number projection,3,1397100.24,84872.00,0.00,12730.80,97602.80,0.00,7.5000,3.0000,1396959.75
FIRE number projection,4,1396959.75,87418.16,0.00,13112.72,100530.88,0.00,7.5000,3.0000,1393661.03
FIRE number projection,5,1393661.03,90040.70,0.00,13506.11,103546.81,50000.00,7.5000,3.0000,1440622.79
FIRE number projection,6,1440622.79,92741.93,0.00,13911.29,106653.21,0.00,7.5000,3.0000,1434017.29
FIRE number projection,7,1434017.29,95524.18,0.00,14328.63,109852.81,0.00,7.5000,3.0000,1423476.82
FIRE number projection,8,1423476.82,98389.91,0.00,14758.49,113148.40,0.00,7.5000,3.0000,1408603.05
FIRE number projection,9,1408603.05,101341.61,0.00,0.00,101341.61,0.00,7.5000,3.0000,1405306.05
FIRE number projection,10,1405306.05,104381.85,0.00,0.00,104381.85,0.00,7.5000,3.0000,1398493.51
FIRE number projection,11,1398493.51,107513.31,0.00,0.00,107513.31,0.00,6.0000,3.0000,1368439.02
FIRE number projection,12,1368439.02,110738.71,0.00,0.00,110738.71,-120000.00,6.0000,3.0000,1205962.32
FIRE number projection,13,1205962.32,114060.87,0.00,0.00,114060.87,0.00,6.0000,3.0000,1157415.54
FIRE number projection,14,1157415.54,117482.70,0.00,0.00,117482.70,0.00,6.0000,3.0000,1102328.81
FIRE number projection,15,1102328.81,121007.18,36302.15,0.00,84705.02,0.00,6.0000,3.0000,1078681.22
FIRE number projection,16,1078681.22,124637.39,37391.22,0.00,87246.18,0.00,6.0000,3.0000,1050921.14
FIRE number projection,17,1050921.14,128376.52,38512.95,0.00,89863.56,0.00,6.0000,3.0000,1018721.04
FIRE number projection,18,1018721.04,132227.81,39668.34,0.00,92559.47,0.00,6.0000,3.0000,981731.26
FIRE number projection,19,981731.26,136194.64,40858.39,0.00,95336.25,0.00,6.0000,3.0000,939578.71
FIRE number projection,20,939578.71,140280.48,42084.15,0.00,98196.34,0.00,6.0000,3.0000,891865.32
FIRE number projection,21,891865.32,144488.90,43346.67,0.00,101142.23,0.00,6.0000,3.0000,838166.47
FIRE number projection,22,838166.47,148823.57,44647.07,0.00,104176.50,0.00,6.0000,3.0000,778029.38
FIRE number projection,23,778029.38,153288.27,45986.48,0.00,107301.79,0.00,6.0000,3.0000,710971.24
FIRE number projection,24,710971.24,157886.92,47366.08,0.00,110520.84,0.00,6.0000,3.0000,636477.42
FIRE number projection,25,636477.42,162623.53,48787.06,0.00,113836.47,0.00,6.0000,3.0000,553999.41
FIRE number projection,26,553999.41,167502.23,50250.67,0.00,117251.56,0.00,6.0000,3.0000,462952.71
FIRE number projection,27,462952.71,172527.30,51758.19,0.00,120769.11,0.00,6.0000,3.0000,362714.62
FIRE number projection,28,362714.62,177703.12,53310.94,0.00,124392.18,0.00,6.0000,3.0000,252621.78
FIRE number projection,29,252621.78,183034.21,54910.26,0.00,128123.95,0.00,6.0000,3.0000,131967.70
FIRE number projection,30,131967.70,188525.24,56557.57,0.00,131967.67,0.00,6.0000,3.0000,0.03
